date,nofu,stumpage_price
2022-05-22,1519262.0,71.11
2022-05-29,1333938.0,71.58
2022-06-05,2684313.0,72.36
2022-06-12,1670502.0,72.65
2022-06-19,1651105.0,73.02
2022-06-26,1381388.0,73.53
2022-07-03,1709238.0,74.42
2022-07-10,1190251.0,74.61
2022-07-17,777943.0,74.85
2022-07-24,592986.0,74.85
2022-07-31,666790.0,74.78
2022-08-07,1532045.0,75.68
2022-08-14,1238951.0,76.37
2022-08-21,1348724.0,76.42
2022-08-28,1511675.0,75.91
2022-09-04,1646306.0,75.24
2022-09-11,1570636.0,74.44
2022-09-18,1719424.0,74.13
2022-09-25,1609542.0,73.94
2022-10-02,1852234.0,73.84
2022-10-09,1967955.0,73.75
2022-10-16,1676804.0,73.63
2022-10-23,1491541.0,73.57
2022-10-30,1531756.0,73.49
2022-11-06,1695472.0,73.44
2022-11-13,1640942.0,73.34
2022-11-20,1684661.0,73.21
2022-11-27,1591108.0,73.17
2022-12-04,2090958.0,73.2
2022-12-11,1150840.0,73.37
2022-12-18,1327382.0,73.63
2022-12-25,1039960.0,73.76
2023-01-01,522663.0,74.02
2023-01-08,1050948.0,
2023-01-15,1168267.0,73.88
2023-01-22,1080534.0,73.85
2023-01-29,1004211.0,74.06
2023-02-05,1148695.0,74.28
2023-02-12,1178935.0,74.53
2023-02-19,987503.0,74.91
2023-02-26,1072336.0,75.09
2023-03-05,1168755.0,75.13
2023-03-12,1077241.0,75.43
2023-03-19,1020443.0,75.67
2023-03-26,964440.0,75.88
2023-04-02,1551929.0,76.24
2023-04-09,840631.0,76.47
2023-04-16,785639.0,76.8
2023-04-23,1079191.0,77.34
2023-04-30,2268651.0,78.01
2023-05-07,1527316.0,78.24
2023-05-14,1754504.0,78.54
2023-05-21,1495967.0,78.9
2023-05-28,2223561.0,79.4
2023-06-04,3164496.0,79.51
2023-06-11,2048157.0,79.45
2023-06-18,1420936.0,79.29
2023-06-25,1389459.0,78.78
2023-07-02,1318257.0,77.91
2023-07-09,844949.0,77.09
2023-07-16,590387.0,76.64
2023-07-23,541376.0,76.07
2023-07-30,516154.0,75.58
2023-08-06,1438598.0,75.33
2023-08-13,909597.0,74.82
2023-08-20,1148220.0,74.27
2023-08-27,1215289.0,73.98
2023-09-03,1193156.0,72.97
2023-09-10,1188304.0,72.51
2023-09-17,1159772.0,71.8
2023-09-24,1140539.0,71.5
2023-10-01,1173548.0,71.37
2023-10-08,1277363.0,71.2
2023-10-15,1224154.0,71.04
2023-10-22,1508102.0,70.9
2023-10-29,1110334.0,70.56
2023-11-05,1291156.0,70.51
2023-11-12,1382372.0,70.68
2023-11-19,1438715.0,70.77
2023-11-26,1136899.0,70.85
2023-12-03,1349904.0,70.96
2023-12-10,1225907.0,71.03
2023-12-17,959319.0,71.12
2023-12-24,778632.0,71.57
2023-12-31,235023.0,71.73
2024-01-07,743807.0,
2024-01-14,1173378.0,72.87
2024-01-21,1106694.0,73.0
2024-01-28,1103200.0,73.14
2024-02-04,1291158.0,73.25
2024-02-11,1173095.0,73.55
2024-02-18,1099905.0,73.63
2024-02-25,1162227.0,74.07
2024-03-03,1477342.0,74.67
2024-03-10,957662.0,75.19
2024-03-17,1078830.0,75.67
2024-03-24,1003773.0,76.03
2024-03-31,1745950.0,76.46
2024-04-07,773506.0,76.66
2024-04-14,1108341.0,77.31
2024-04-21,1334539.0,77.86
2024-04-28,1852478.0,78.7
2024-05-05,1776902.0,79.49
2024-05-12,1539661.0,80.21
2024-05-19,2125946.0,81.28
2024-05-26,2223033.0,82.18
2024-06-02,3394637.0,83.34
2024-06-09,2921521.0,83.62
2024-06-16,2151245.0,83.87
2024-06-23,2004664.0,84.13
2024-06-30,1898046.0,84.2
2024-07-07,1552811.0,84.45
2024-07-14,1275832.0,84.34
2024-07-21,850755.0,84.19
2024-07-28,734502.0,83.77
2024-08-04,1816225.0,83.35
2024-08-11,,83.49
2024-08-18,,83.27
2024-08-25,,83.21
